                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.56349,                0.55983,                 1.1034,                0.72757,                 0.7462,                0.76368,                0.61263,                0.82129,                 1.1192,                 1.4484,             0.00013864,             0.00013864,             0.00013864
                     36,                0.56784,                0.55208,                 1.1055,                0.72521,                0.74012,                0.75645,                0.60404,                0.81273,                 1.1227,                   1.42,             0.00013072,             0.00013072,             0.00013072
                     37,                0.54711,                0.52262,                 1.0962,                0.73486,                0.75367,                0.77848,                0.63354,                0.78964,                 1.0483,                 1.4088,              0.0001228,              0.0001228,              0.0001228
                     38,                0.54162,                0.50633,                  1.084,                0.71381,                0.74645,                0.75259,                0.60329,                0.81436,                 1.1226,                 1.4477,             0.00011488,             0.00011488,             0.00011488
                     39,                0.54773,                0.51263,                 1.0824,                0.76454,                0.71343,                0.77673,                0.63384,                 0.7926,                 1.0817,                  1.406,             0.00010696,             0.00010696,             0.00010696
                     40,                0.53086,                0.49275,                  1.081,                0.75858,                0.72905,                0.77309,                0.63212,                0.79415,                 1.0917,                 1.4184,              9.904e-05,              9.904e-05,              9.904e-05
                     41,                0.42931,                0.39099,                 1.0245,                0.77326,                0.73146,                0.77654,                 0.6324,                 0.7923,                0.97461,                 1.4309,              9.112e-05,              9.112e-05,              9.112e-05
                     42,                0.41435,                0.35537,                 1.0139,                0.71137,                0.74918,                0.76652,                0.62931,                 0.7567,                  1.053,                 1.3758,               8.32e-05,               8.32e-05,               8.32e-05
                     43,                0.39715,                0.33203,                 1.0001,                0.74036,                0.76076,                0.78649,                0.64151,                0.76556,                 1.0298,                 1.3982,              7.528e-05,              7.528e-05,              7.528e-05
                     44,                0.38703,                0.31677,                0.99013,                0.78061,                0.72118,                0.78239,                0.64164,                  0.765,                 1.0308,                 1.3999,              6.736e-05,              6.736e-05,              6.736e-05
                     45,                0.38175,                0.30726,                0.98184,                0.79574,                0.72272,                0.79071,                0.64869,                0.75686,                  1.026,                 1.4069,              5.944e-05,              5.944e-05,              5.944e-05
                     46,                 0.3757,                0.30216,                0.98466,                0.84252,                0.71667,                0.80275,                0.66346,                0.75137,                0.96284,                 1.4037,              5.152e-05,              5.152e-05,              5.152e-05
                     47,                0.36798,                0.29374,                 0.9764,                0.81616,                 0.7124,                0.79174,                0.65686,                0.74622,                 1.0081,                 1.3898,               4.36e-05,               4.36e-05,               4.36e-05
                     48,                0.36461,                0.28289,                0.97053,                 0.7882,                 0.7064,                0.78169,                0.64968,                0.74827,                  1.054,                 1.3899,              3.568e-05,              3.568e-05,              3.568e-05
                     49,                0.35909,                0.27706,                0.96804,                0.80665,                0.71539,                0.78949,                0.65831,                0.74081,                   1.05,                  1.384,              2.776e-05,              2.776e-05,              2.776e-05
                     50,                0.35362,                0.26676,                0.95584,                0.80892,                0.71231,                0.79395,                0.66127,                0.74301,                 1.0419,                 1.3874,              1.984e-05,              1.984e-05,              1.984e-05
